year,state_po,county
2016,KY,Rockcastle
2016,KY,Rowan
2016,KY,Russell
2016,KY,Scott
2016,KY,Shelby
2016,KY,Simpson
2016,KY,Spencer
2016,KY,Taylor
2016,KY,Todd
2016,KY,Trigg
2016,KY,Trimble
2016,KY,Union
2016,KY,Warren
2016,KY,Washington
2016,KY,Wayne
2016,KY,Webster
2016,KY,Whitley
2016,KY,Wolfe
2016,KY,Woodford
2016,LA,Acadia
2016,LA,Allen
2016,LA,Ascension
2016,LA,Assumption
2016,LA,Avoyelles
2016,LA,Beauregard
2016,LA,Bienville
2016,LA,Bossier
2016,LA,Caddo
2016,LA,Calcasieu
2016,LA,Caldwell
2016,LA,Cameron
2016,LA,Catahoula
2016,LA,Claiborne
2016,LA,Concordia
2016,LA,De Soto
2016,LA,East Baton Rouge
2016,LA,East Carroll
2016,LA,East Feliciana
2016,LA,Evangeline
2016,LA,Franklin
2016,LA,Grant
2016,LA,Iberia
2016,LA,Iberville
2016,LA,Jackson
2016,LA,Jefferson
2016,LA,Jefferson Davis
2016,LA,Lafayette
2016,LA,Lafourche
2016,LA,La Salle
2016,LA,Lincoln
2016,LA,Livingston
2016,LA,Madison
2016,LA,Morehouse
2016,LA,Natchitoches
2016,LA,Orleans
2016,LA,Ouachita
2016,LA,Plaquemines
2016,LA,Pointe Coupee
2016,LA,Rapides
2016,LA,Red River
2016,LA,Richland
2016,LA,Sabine
2016,LA,St. Bernard
2016,LA,St. Charles
2016,LA,St. Helena
2016,LA,St. James
2016,LA,St. John the Baptist
2016,LA,St. Landry
2016,LA,St. Martin
2016,LA,St. Mary
2016,LA,St. Tammany
2016,LA,Tangipahoa
2016,LA,Tensas
2016,LA,Terrebonne
2016,LA,Union
2016,LA,Vermilion
2016,LA,Vernon
2016,LA,Washington
2016,LA,Webster
2016,LA,West Baton Rouge
2016,LA,West Carroll
2016,LA,West Feliciana
2016,LA,Winn
2016,ME,Androscoggin
2016,ME,Aroostook
2016,ME,Cumberland
2016,ME,Franklin
2016,ME,Hancock
2016,ME,Kennebec
2016,ME,Knox
2016,ME,Lincoln
2016,ME,Oxford
2016,ME,Penobscot
2016,ME,Piscataquis
2016,ME,Sagadahoc
2016,ME,Somerset
2016,ME,Waldo
2016,ME,Washington
2016,ME,York
2016,MD,Allegany
2016,MD,Anne Arundel
2016,MD,Baltimore
2016,MD,Calvert
2016,MD,Caroline
2016,MD,Carroll
2016,MD,Cecil
2016,MD,Charles
2016,MD,Dorchester
2016,MD,Frederick
2016,MD,Garrett
2016,MD,Harford
2016,MD,Howard
2016,MD,Kent
2016,MD,Montgomery
2016,MD,Prince George's
2016,MD,Queen Anne's
2016,MD,St. Mary's
2016,MD,Somerset
2016,MD,Talbot
2016,MD,Washington
2016,MD,Wicomico
2016,MD,Worcester
2016,MD,Baltimore City
2016,MA,Barnstable
2016,MA,Berkshire
2016,MA,Bristol
2016,MA,Dukes
2016,MA,Essex
2016,MA,Franklin
2016,MA,Hampden
2016,MA,Hampshire
2016,MA,Middlesex
2016,MA,Nantucket
2016,MA,Norfolk
2016,MA,Plymouth
2016,MA,Suffolk
2016,MA,Worcester
2016,MI,Alcona
2016,MI,Alger
2016,MI,Allegan
2016,MI,Alpena
2016,MI,Antrim
2016,MI,Arenac
2016,MI,Baraga
2016,MI,Barry
2016,MI,Bay
2016,MI,Benzie
2016,MI,Berrien
2016,MI,Branch
2016,MI,Calhoun
2016,MI,Cass
2016,MI,Charlevoix
2016,MI,Cheboygan
2016,MI,Chippewa
2016,MI,Clare
2016,MI,Clinton
2016,MI,Crawford
2016,MI,Delta
